y,z,vy,vz
-3.03767,3.81451,-1.74471,-0.0202272
-3.05502,3.81413,-1.73451,-0.0376743
-3.07226,3.81358,-1.72413,-0.0550194
-3.0894,3.81286,-1.71358,-0.0722607
-3.10643,3.81197,-1.70286,-0.0893966
-3.12334,3.8109,-1.69197,-0.106425
-3.14015,3.80967,-1.6809,-0.123345
-3.15685,3.80827,-1.66967,-0.140154
-3.17343,3.8067,-1.65827,-0.156851
-3.1899,3.80496,-1.6467,-0.173433
-3.20625,3.80307,-1.63496,-0.1899
-3.22248,3.801,-1.62307,-0.20625
-3.23859,3.79878,-1.611,-0.22248
-3.25458,3.79639,-1.59878,-0.238591
-3.27044,3.79385,-1.58639,-0.254578
-3.28618,3.79114,-1.57385,-0.270442
-3.30179,3.78828,-1.56114,-0.286181
-3.31727,3.78526,-1.54828,-0.301792
-3.33263,3.78209,-1.53526,-0.317275
-3.34785,3.77876,-1.52209,-0.332628
-3.36294,3.77528,-1.50876,-0.347848
-3.37789,3.77166,-1.49528,-0.362936
-3.39271,3.76788,-1.48166,-0.377889
-3.40738,3.76395,-1.46788,-0.392705
-3.42192,3.75988,-1.45395,-0.407384
-3.43632,3.75566,-1.43988,-0.421924
-3.45058,3.75129,-1.42566,-0.436322
-3.46469,3.74679,-1.41129,-0.450579
-3.47866,3.74214,-1.39679,-0.464692
-3.49248,3.73735,-1.38214,-0.47866
-3.50615,3.73243,-1.36735,-0.492481
-3.51968,3.72737,-1.35243,-0.506155
-3.53305,3.72217,-1.33737,-0.519679
-3.54627,3.71684,-1.32217,-0.533053
-3.55934,3.71138,-1.30684,-0.546274
-3.57226,3.70578,-1.29138,-0.559343
-3.58501,3.70006,-1.27578,-0.572257
-3.59762,3.69421,-1.26006,-0.585014
-3.61006,3.68823,-1.24421,-0.597615
-3.62234,3.68213,-1.22823,-0.610057
-3.63446,3.67591,-1.21213,-0.62234
-3.64642,3.66957,-1.19591,-0.634461
-3.65822,3.6631,-1.17957,-0.64642
-3.66985,3.65652,-1.1631,-0.658216
-3.68131,3.64982,-1.14652,-0.669847
-3.69261,3.64301,-1.12982,-0.681312
-3.70374,3.63608,-1.11301,-0.69261
-3.7147,3.62904,-1.09608,-0.70374
-3.72549,3.6219,-1.07904,-0.714701
-3.73611,3.61464,-1.0619,-0.725491
-3.74656,3.60728,-1.04464,-0.73611
-3.75683,3.59982,-1.02728,-0.746557
-3.76693,3.59225,-1.00982,-0.75683
-3.77685,3.58458,-0.992248,-0.766928
-3.7866,3.57681,-0.974579,-0.77685
-3.79616,3.56894,-0.95681,-0.786596
-3.80555,3.56098,-0.938944,-0.796164
-3.81476,3.55293,-0.920983,-0.805554
-3.82379,3.54478,-0.902927,-0.814763
-3.83264,3.53654,-0.88478,-0.823793
-3.84131,3.52822,-0.866542,-0.832641
-3.84979,3.5198,-0.848215,-0.841306
-3.85809,3.5113,-0.829802,-0.849788
-3.8662,3.50272,-0.811304,-0.858086
-3.87413,3.49406,-0.792723,-0.866199
-3.88187,3.48532,-0.774061,-0.874126
-3.88942,3.4765,-0.75532,-0.881867
-3.89679,3.46761,-0.736501,-0.88942
-3.90396,3.45864,-0.717607,-0.896785
-3.91095,3.4496,-0.698639,-0.903961
-3.91774,3.44049,-0.6796,-0.910948
-3.92435,3.43131,-0.66049,-0.917744
-3.93076,3.42207,-0.641313,-0.924349
-3.93698,3.41276,-0.622069,-0.930762
-3.94301,3.40339,-0.602762,-0.936982
-3.94884,3.39396,-0.583392,-0.94301
-3.95448,3.38447,-0.563962,-0.948844
-3.95993,3.37493,-0.544473,-0.954484
-3.96518,3.36533,-0.524929,-0.959928
-3.97023,3.35568,-0.505329,-0.965178
-3.97509,3.34598,-0.485678,-0.970231
-3.97975,3.33622,-0.465975,-0.975088
-3.98421,3.32643,-0.446224,-0.979747
-3.98847,3.31658,-0.426427,-0.98421
-3.99254,3.3067,-0.406585,-0.988474
-3.99641,3.29677,-0.3867,-0.99254
-4.00007,3.28681,-0.366775,-0.996407
-4.00354,3.27681,-0.346811,-1.00007
-4.00681,3.26677,-0.32681,-1.00354
-4.00988,3.25671,-0.306774,-1.00681
-4.01275,3.24661,-0.286706,-1.00988
-4.01541,3.23648,-0.266608,-1.01275
-4.01788,3.22633,-0.24648,-1.01541
-4.02014,3.21615,-0.226326,-1.01788
-4.0222,3.20595,-0.206147,-1.02014
-4.02406,3.19572,-0.185946,-1.0222
-4.02572,3.18548,-0.165724,-1.02406
-4.02717,3.17523,-0.145483,-1.02572
-4.02842,3.16495,-0.125226,-1.02717
-4.02947,3.15467,-0.104954,-1.02842
-4.03032,3.14438,-0.08467,-1.02947
-4.03096,3.13407,-0.0643753,-1.03032
-4.03141,3.12376,-0.044072,-1.03096
-4.03164,3.11345,-0.0237624,-1.03141
-4.03168,3.10313,-0.00344834,-1.03164
-4.03151,3.09282,0.0168681,-1.03168
-4.03114,3.0825,0.0371849,-1.03151
-4.03056,3.07219,0.0575,-1.03114
-4.02978,3.06188,0.0778113,-1.03056
-4.0288,3.05159,0.098117,-1.02978
-4.02762,3.0413,0.118415,-1.0288
-4.02623,3.03102,0.138703,-1.02762
-4.02464,3.02076,0.158979,-1.02623
-4.02285,3.01051,0.179241,-1.02464
-4.02085,3.00028,0.199488,-1.02285
-4.01866,2.99008,0.219716,-1.02085
-4.01626,2.97989,0.239925,-1.01866
-4.01366,2.96973,0.260111,-1.01626
-4.01085,2.95959,0.280274,-1.01366
-4.00785,2.94948,0.300411,-1.01085
-4.00465,2.9394,0.320519,-1.00785
-4.00124,2.92936,0.340598,-1.00465
-3.99763,2.91934,0.360644,-1.00124
-3.99383,2.90937,0.380656,-0.997633
-3.98982,2.89943,0.400633,-0.993826
-3.98561,2.88953,0.420571,-0.98982
-3.98121,2.87967,0.440469,-0.985614
-3.97661,2.86986,0.460325,-0.981209
-3.9718,2.8601,0.480137,-0.976606
-3.96681,2.85038,0.499903,-0.971805
-3.96161,2.84071,0.519622,-0.966806
-3.95622,2.83109,0.53929,-0.96161
-3.95063,2.82153,0.558906,-0.956217
-3.94484,2.81203,0.578468,-0.950628
-3.93886,2.80258,0.597974,-0.944843
-3.93269,2.79319,0.617423,-0.938863
-3.92632,2.78386,0.636811,-0.932689
-3.91976,2.7746,0.656138,-0.926321
-3.91301,2.7654,0.675401,-0.919759
-3.90606,2.75627,0.694599,-0.913005
-3.89892,2.74721,0.713729,-0.906059
-3.89159,2.73822,0.73279,-0.898922
-3.88408,2.72931,0.751779,-0.891594
-3.87637,2.72046,0.770695,-0.884076
-3.86847,2.7117,0.789535,-0.87637
-3.86039,2.70302,0.808299,-0.868474
